sigma,K_over_KI,dlnW_dI
2.0,7.42264798625611,0.1793827742568865
2.0,7.8229952893473795,0.1907290311242704
2.0,8.244935690129557,0.2021222831993796
2.0,8.689633832061686,0.21355713086812497
2.0,9.158317174712192,0.22502809351454542
2.0,9.65227938180317,0.23652961995690444
2.0,10.172883891991924,0.24805609888378652
2.0,10.721567682245839,0.2596018698453051
2.0,11.299845234198385,0.2711612342443104
2.0,11.909312714434078,0.2827284665052332
2.0,12.551652380241011,0.2942978254427686
2.0,13.228637222991617,0.3058635657637865
2.0,13.942135861968385,0.3174199491251528
2.0,14.694117702142709,0.3289612560131161
2.0,15.486658370143013,0.34048179649026616
2.0,16.321945443416972,0.35197592200830735
2.0,17.202284488401183,0.36343803571092786
2.0,18.130105424365304,0.37486260380248376
2.0,19.107969230495502,0.3862441657176418
2.0,20.138575014731043,0.39757734446865806
2.0,21.224767463864755,0.40885685659297616
2.0,22.369544695471472,0.4200775215679186
2.0,23.5760665333377,0.4312342706036531
2.0,24.84766322923366,0.44232215623551946
2.0,26.187844655102584,0.4533363592074124
2.0,27.600309991038813,0.4642721969538854
2.0,29.088957935795868,0.47512513079439594
2.0,30.657897468007924,0.4858907719729188
2.0,32.311459187827055,0.49656488827487516
2.0,34.05420727028258,0.5071434090453408
2.0,35.89095206335545,0.5176224304292987
2.0,37.8267633655414,0.5279982194572597
2.0,39.86698441955161,0.5382672177312031
2.0,42.01724666077632,0.5484260449328815
2.0,44.283485261220484,0.5584715009110397
2.0,46.67195551181545,0.5684005679018611
2.0,49.18925008832625,0.5782104119056442
2.0,51.84231724851045,0.5878983835305718
2.0,54.63848001075827,0.5974620183923918
2.0,57.585456367149774,0.6068990366703275
2.0,60.69138058672147,0.6162073427962156
2.0,63.964825667745075,0.6253850238557845
